player_name,variable,value,counts
Draymond Green,result_contest,Open,369
Draymond Green,result_contest,Plus,254
Draymond Green,result_contest,Poor,118
Draymond Green,result_contest,,347
Draymond Green,result_type,1-2D Pull-Up,93
Draymond Green,result_type,3+D Pull-Up,10
Draymond Green,result_type,Catch & Shoot,338
Draymond Green,result_type,Dunk,108
Draymond Green,result_type,Face-Up,24
Draymond Green,result_type,Floater,151
Draymond Green,result_type,Hook,27
Draymond Green,result_type,Layup,510
Draymond Green,result_type,Leaner,9
Draymond Green,result_type,Off-Lob / Tip,28
Draymond Green,result_type,Off-Movement,262
Draymond Green,result_type,PU Fade,23
Draymond Green,result_type,Post Fade,10
Draymond Green,result_type,Putback,6
Draymond Green,result_type,SC Violation,2
Draymond Green,result_type,Side Out,41
Draymond Green,result_type,TOV,251
Draymond Green,result_type,Take FT,9
Draymond Green,result_type,Take Side,44
Draymond Green,result_zone,Deep Backcourt,6
Draymond Green,result_zone,Left Above Break 3,145
Draymond Green,result_zone,Left Corner 3,96
Draymond Green,result_zone,Left Midrange,35
Draymond Green,result_zone,Left Short Mid,48
Draymond Green,result_zone,Mid-Left Above Break 3,149
Draymond Green,result_zone,Mid-Left Deep Paint,23
Draymond Green,result_zone,Mid-Left Midrange,43
Draymond Green,result_zone,Mid-Left Short Paint,39
Draymond Green,result_zone,Mid-Right Above Break 3,118
Draymond Green,result_zone,Mid-Right Deep Paint,13
Draymond Green,result_zone,Mid-Right Midrange,44
Draymond Green,result_zone,Mid-Right Short Paint,30
Draymond Green,result_zone,Right Above Break 3,132
Draymond Green,result_zone,Right Corner 3,90
Draymond Green,result_zone,Right Midrange,28
Draymond Green,result_zone,Right Short Mid,37
Draymond Green,result_zone,Rim,816
Draymond Green,result_zone,Short Backcourt,10
Draymond Green,result_zone,,44
Gary Payton II,points,0.0,375
Gary Payton II,points,1.0,23
Gary Payton II,points,2.0,272
Gary Payton II,points,3.0,103
Gary Payton II,points,4.0,1
Gary Payton II,points,,1
Gary Payton II,result_contest,Alter,13
Gary Payton II,result_contest,Average,260
Gary Payton II,result_contest,Block,23
Gary Payton II,result_contest,Fouled,52
Gary Payton II,result_contest,Goaltend,3
Gary Payton II,result_contest,Open,204
Gary Payton II,result_contest,Plus,90
Gary Payton II,result_contest,Poor,51
Gary Payton II,result_contest,,79
Gary Payton II,result_type,1-2D Pull-Up,25
Gary Payton II,result_type,3+D Pull-Up,5
Gary Payton II,result_type,Catch & Shoot,213
Gary Payton II,result_type,Dunk,80
Gary Payton II,result_type,Face-Up,10
Gary Payton II,result_type,Floater,37
Gary Payton II,result_type,Hook,10
Gary Payton II,result_type,Layup,212
Gary Payton II,result_type,Leaner,2
Gary Payton II,result_type,Off-Lob / Tip,26
Gary Payton II,result_type,Off-Movement,60
Gary Payton II,result_type,PU Fade,7
Gary Payton II,result_type,Post Fade,1
Gary Payton II,result_type,Putback,8
Gary Payton II,result_type,SC Violation,5
Gary Payton II,result_type,Side Out,11
Gary Payton II,result_type,TOV,51
Gary Payton II,result_type,Take FT,3
Gary Payton II,result_type,Take Side,9
Gary Payton II,result_zone,Deep Backcourt,3
Gary Payton II,result_zone,Left Above Break 3,45
Gary Payton II,result_zone,Left Corner 3,57
Gary Payton II,result_zone,Left Midrange,10
Gary Payton II,result_zone,Left Short Mid,9
Gary Payton II,result_zone,Mid-Left Above Break 3,48
Gary Payton II,result_zone,Mid-Left Deep Paint,2
Gary Payton II,result_zone,Mid-Left Midrange,6
Gary Payton II,result_zone,Mid-Left Short Paint,6
Gary Payton II,result_zone,Mid-Right Above Break 3,30
Gary Payton II,result_zone,Mid-Right Deep Paint,1
Gary Payton II,result_zone,Mid-Right Midrange,10
Gary Payton II,result_zone,Mid-Right Short Paint,7
Gary Payton II,result_zone,Right Above Break 3,49
Gary Payton II,result_zone,Right Corner 3,83
Gary Payton II,result_zone,Right Midrange,8
Gary Payton II,result_zone,Right Short Mid,8
Gary Payton II,result_zone,Rim,371
Gary Payton II,result_zone,Short Backcourt,6
Gary Payton II,result_zone,,16
Jeff Dowtin,points,0.0,9
Jeff Dowtin,points,2.0,6
Jeff Dowtin,points,3.0,1
Jeff Dowtin,result_contest,Average,6
Jeff Dowtin,result_contest,Open,1
Jeff Dowtin,result_contest,Plus,3
Jeff Dowtin,result_contest,Poor,3
Jeff Dowtin,result_contest,,3
Jeff Dowtin,result_type,1-2D Pull-Up,1
Jeff Dowtin,result_type,3+D Pull-Up,1
Jeff Dowtin,result_type,Catch & Shoot,5
Jeff Dowtin,result_type,Dunk,2
Jeff Dowtin,result_type,Floater,2
Jeff Dowtin,result_type,Layup,2
Jeff Dowtin,result_type,TOV,3
Jeff Dowtin,result_zone,Left Corner 3,1
Jeff Dowtin,result_zone,Left Short Mid,1
Jeff Dowtin,result_zone,Mid-Right Above Break 3,1
Jeff Dowtin,result_zone,Mid-Right Midrange,2
Jeff Dowtin,result_zone,Right Above Break 3,2
Jeff Dowtin,result_zone,Right Corner 3,1
Jeff Dowtin,result_zone,Right Midrange,1
Jeff Dowtin,result_zone,Rim,6
Jeff Dowtin,result_zone,Short Backcourt,1
Jonathan Kuminga,points,0.0,534
Jonathan Kuminga,points,1.0,47
Jonathan Kuminga,points,2.0,322
Jonathan Kuminga,points,3.0,113
Jonathan Kuminga,points,,8
Jonathan Kuminga,result_contest,Alter,10
Jonathan Kuminga,result_contest,Average,284
Jonathan Kuminga,result_contest,Block,39
Jonathan Kuminga,result_contest,Fouled,119
Jonathan Kuminga,result_contest,Open,190
Jonathan Kuminga,result_contest,Plus,157
Jonathan Kuminga,result_contest,Poor,60
Jonathan Kuminga,result_contest,,165
Jonathan Kuminga,result_type,1-2D Pull-Up,48
Jonathan Kuminga,result_type,3+D Pull-Up,11
Jonathan Kuminga,result_type,Catch & Shoot,204
Jonathan Kuminga,result_type,Dunk,104
Jonathan Kuminga,result_type,Face-Up,24
Jonathan Kuminga,result_type,Floater,83
Jonathan Kuminga,result_type,Hook,14
Jonathan Kuminga,result_type,Jump Ball,2
Jonathan Kuminga,result_type,Layup,245
Jonathan Kuminga,result_type,Leaner,10
Jonathan Kuminga,result_type,Off-Lob / Tip,27
Jonathan Kuminga,result_type,Off-Movement,42
Jonathan Kuminga,result_type,PU Fade,22
Jonathan Kuminga,result_type,Post Fade,20
Jonathan Kuminga,result_type,Putback,5
Jonathan Kuminga,result_type,SC Violation,6
Jonathan Kuminga,result_type,Side Out,20
Jonathan Kuminga,result_type,TOV,106
Jonathan Kuminga,result_type,Take FT,9
Jonathan Kuminga,result_type,Take Side,22
Jonathan Kuminga,result_zone,Deep Backcourt,1
Jonathan Kuminga,result_zone,Left Above Break 3,44
Jonathan Kuminga,result_zone,Left Corner 3,46
Jonathan Kuminga,result_zone,Left Midrange,15
Jonathan Kuminga,result_zone,Left Short Mid,17
Jonathan Kuminga,result_zone,Mid-Left Above Break 3,65
Jonathan Kuminga,result_zone,Mid-Left Deep Paint,21
Jonathan Kuminga,result_zone,Mid-Left Midrange,16
Jonathan Kuminga,result_zone,Mid-Left Short Paint,27
Jonathan Kuminga,result_zone,Mid-Right Above Break 3,34
Jonathan Kuminga,result_zone,Mid-Right Deep Paint,13
Jonathan Kuminga,result_zone,Mid-Right Midrange,13
Jonathan Kuminga,result_zone,Mid-Right Short Paint,32
Jonathan Kuminga,result_zone,Right Above Break 3,62
Jonathan Kuminga,result_zone,Right Corner 3,66
Jonathan Kuminga,result_zone,Right Midrange,13
Jonathan Kuminga,result_zone,Right Short Mid,17
Jonathan Kuminga,result_zone,Rim,488
Jonathan Kuminga,result_zone,Short Backcourt,4
Jonathan Kuminga,result_zone,,30
Jordan Poole,points,0.0,2098
Jordan Poole,points,1.0,41
Jordan Poole,points,2.0,878
Jordan Poole,points,3.0,598
Jordan Poole,points,4.0,5
Jordan Poole,points,,10
Jordan Poole,result_contest,Alter,55
Jordan Poole,result_contest,Average,1194
Jordan Poole,result_contest,Block,119
Jordan Poole,result_contest,Fouled,255
Jordan Poole,result_contest,Goaltend,5
Jordan Poole,result_contest,Open,572
Jordan Poole,result_contest,Plus,565
Jordan Poole,result_contest,Poor,222
Jordan Poole,result_contest,,643
Jordan Poole,result_type,1-2D Pull-Up,273
Jordan Poole,result_type,3+D Pull-Up,258
Jordan Poole,result_type,Catch & Shoot,667
Jordan Poole,result_type,Dunk,132
Jordan Poole,result_type,Face-Up,25
Jordan Poole,result_type,Floater,221
Jordan Poole,result_type,Hook,28
Jordan Poole,result_type,Jump Ball,8
Jordan Poole,result_type,Layup,747
Jordan Poole,result_type,Leaner,30
Jordan Poole,result_type,Off-Lob / Tip,15
Jordan Poole,result_type,Off-Movement,454
Jordan Poole,result_type,PU Fade,117
Jordan Poole,result_type,Post Fade,19
Jordan Poole,result_type,Putback,1
Jordan Poole,result_type,SC Violation,19
Jordan Poole,result_type,Side Out,86
Jordan Poole,result_type,TOV,375
Jordan Poole,result_type,Take FT,33
Jordan Poole,result_type,Take Side,122
Jordan Poole,result_zone,Deep Backcourt,8
Jordan Poole,result_zone,Left Above Break 3,300
Jordan Poole,result_zone,Left Corner 3,174
Jordan Poole,result_zone,Left Midrange,70
Jordan Poole,result_zone,Left Short Mid,118
Jordan Poole,result_zone,Mid-Left Above Break 3,318
Jordan Poole,result_zone,Mid-Left Deep Paint,35
Jordan Poole,result_zone,Mid-Left Midrange,96
Jordan Poole,result_zone,Mid-Left Short Paint,57
Jordan Poole,result_zone,Mid-Right Above Break 3,307
Jordan Poole,result_zone,Mid-Right Deep Paint,31
Jordan Poole,result_zone,Mid-Right Midrange,87
Jordan Poole,result_zone,Mid-Right Short Paint,58
Jordan Poole,result_zone,Right Above Break 3,339
Jordan Poole,result_zone,Right Corner 3,216
Jordan Poole,result_zone,Right Midrange,66
Jordan Poole,result_zone,Right Short Mid,72
Jordan Poole,result_zone,Rim,1142
Jordan Poole,result_zone,Short Backcourt,17
Jordan Poole,result_zone,,119
