,player_name,result_type,result_contest,result_zone,0 pts,2 pts,3 pts
57,Draymond Green,Layup,Average,Rim,0.2652433662349333,0.6080599414803306,0.12669669228473615
58,Draymond Green,Layup,Average,Left Above Break 3,0.4446788569587228,0.21384817617188676,0.34147296686939044
59,Draymond Green,Layup,Average,Left Corner 3,0.5603401480094854,0.20508296334352397,0.2345768886469906
60,Draymond Green,Layup,Average,Mid-Right Above Break 3,0.5467975993741726,0.21324643427092535,0.23995596635490218
61,Draymond Green,Layup,Average,Right Above Break 3,0.5270976915965842,0.20614657019789098,0.2667557382055249
62,Draymond Green,Layup,Average,Right Corner 3,0.5350347601667702,0.2106162101498132,0.2543490296834167
63,Draymond Green,Layup,Plus,Mid-Left Above Break 3,0.5618029721900346,0.1943862988943293,0.243810728915636
64,Draymond Green,Layup,Plus,Rim,0.26689052384429085,0.6120489615383702,0.12106051461733887
65,Draymond Green,Layup,Plus,Left Above Break 3,0.4562569448208874,0.21891620400774192,0.3248268511713706
66,Draymond Green,Layup,Plus,Left Corner 3,0.5678179813597771,0.2097416809235487,0.2224403377166741
67,Draymond Green,Layup,Plus,Mid-Right Above Break 3,0.554581081291289,0.21788094651988735,0.22753797218882355
68,Draymond Green,Layup,Plus,Right Above Break 3,0.5360512654345366,0.21099263101297766,0.2529561035524857
69,Draymond Green,Layup,Plus,Right Corner 3,0.5435802604211901,0.2151927254744038,0.2412270141044061
70,Draymond Green,Layup,Open,Mid-Left Above Break 3,0.41161329379469125,0.3543503471324488,0.23403635907285988
71,Draymond Green,Layup,Open,Rim,0.15928663285804787,0.7371834713653407,0.10352989577661142
72,Draymond Green,Layup,Open,Left Above Break 3,0.31011457046812196,0.3923461996795798,0.2975392298522982
73,Draymond Green,Layup,Open,Left Corner 3,0.41460798679767186,0.3744231798176806,0.21096883338464764
74,Draymond Green,Layup,Open,Mid-Right Above Break 3,0.39943216930776154,0.38658010741952953,0.2139877232727089
75,Draymond Green,Layup,Open,Right Above Break 3,0.38299924309693917,0.3782994181304761,0.2387013387725847
76,Draymond Green,Layup,Open,Right Corner 3,0.3885803372280528,0.38459969674312744,0.22681996602881976
77,Draymond Green,Layup,Poor,Mid-Left Above Break 3,0.5143403106440927,0.28955426483228003,0.19610542452362734
78,Draymond Green,Layup,Poor,Rim,0.22338783160563674,0.6814246538241397,0.09518751457022345
79,Draymond Green,Layup,Poor,Left Above Break 3,0.4141331513632725,0.32919147782797703,0.25667537080875047
80,Draymond Green,Layup,Poor,Left Corner 3,0.5149518862778707,0.30743499433474203,0.17761311938738727
81,Draymond Green,Layup,Poor,Mid-Right Above Break 3,0.500794848229621,0.3184823262597677,0.1807228255106113
82,Draymond Green,Layup,Poor,Right Above Break 3,0.48661007734856965,0.3118194595358231,0.2015704631156073
83,Draymond Green,Layup,Poor,Right Corner 3,0.4917203709953232,0.3166667749027529,0.1916128541019239
84,Draymond Green,Catch & Shoot,Average,Mid-Left Above Break 3,0.6940476255995682,0.03634338351078455,0.2696089908896473
85,Draymond Green,Catch & Shoot,Average,Rim,0.5903635420239315,0.2099066178220023,0.19972984015406628
86,Draymond Green,Catch & Shoot,Average,Left Above Break 3,0.6068624543993126,0.03917805109013016,0.35395949451055714
87,Draymond Green,Catch & Shoot,Average,Left Corner 3,0.7088024194584086,0.04012586038597978,0.25107172015561174
88,Draymond Green,Catch & Shoot,Average,Mid-Right Above Break 3,0.7013464839657308,0.04160112055855862,0.25705239547571057
89,Draymond Green,Catch & Shoot,Average,Right Above Break 3,0.6785029804384947,0.03975764971204933,0.281739369849456
90,Draymond Green,Catch & Shoot,Average,Right Corner 3,0.6903190054726265,0.04049976948712861,0.26918122504024494
91,Draymond Green,Catch & Shoot,Plus,Mid-Left Above Break 3,0.7046251699455508,0.038328395506036096,0.257046434548413
92,Draymond Green,Catch & Shoot,Plus,Rim,0.5967466361241118,0.21351849499260625,0.189734868883282
93,Draymond Green,Catch & Shoot,Plus,Left Above Break 3,0.6204877063220463,0.041511107358653924,0.3380011863192996
94,Draymond Green,Catch & Shoot,Plus,Left Corner 3,0.7184690176044827,0.04221320479981855,0.23931777759569867
95,Draymond Green,Catch & Shoot,Plus,Mid-Right Above Break 3,0.7112673986042006,0.043760283776998796,0.24497231761880056
96,Draymond Green,Catch & Shoot,Plus,Right Above Break 3,0.6894729732571715,0.04195007391164046,0.2685769528311879
97,Draymond Green,Catch & Shoot,Plus,Right Corner 3,0.7008412962436534,0.042640304236575145,0.2565183995197716
98,Draymond Green,Catch & Shoot,Open,Mid-Left Above Break 3,0.641875366788727,0.07480012038525077,0.28332451282602217
99,Draymond Green,Catch & Shoot,Open,Rim,0.4416577738073646,0.3797408605688423,0.178601365623793
100,Draymond Green,Catch & Shoot,Open,Left Above Break 3,0.5439131967788879,0.08177949529901148,0.3743073079221005
101,Draymond Green,Catch & Shoot,Open,Left Corner 3,0.6552296683540202,0.0824197679660872,0.2623505636798925
102,Draymond Green,Catch & Shoot,Open,Mid-Right Above Break 3,0.6456665688806805,0.08562676725519189,0.2687066638641275
103,Draymond Green,Catch & Shoot,Open,Right Above Break 3,0.6226610036906296,0.0816815353710809,0.2956574609382895
104,Draymond Green,Catch & Shoot,Open,Right Corner 3,0.6338240648677916,0.08364145762384081,0.28253447750836747
105,Draymond Green,Catch & Shoot,Poor,Mid-Left Above Break 3,0.7148646554941818,0.05906498960252808,0.22607035490328994
106,Draymond Green,Catch & Shoot,Poor,Rim,0.5384603663592916,0.31092383724931605,0.1506157963913924
107,Draymond Green,Catch & Shoot,Poor,Left Above Break 3,0.634962797408621,0.06575241893083499,0.2992847836605439
108,Draymond Green,Catch & Shoot,Poor,Left Corner 3,0.725239086921712,0.06481160586603898,0.209949307212249
109,Draymond Green,Catch & Shoot,Poor,Mid-Right Above Break 3,0.7178067621913963,0.06739605277102255,0.21479718503758125
110,Draymond Green,Catch & Shoot,Poor,Right Above Break 3,0.699236400254187,0.06478067242579544,0.23598292732001758
111,Draymond Green,Catch & Shoot,Poor,Right Corner 3,0.708864440514396,0.06591663960553887,0.22521891988006515
112,Draymond Green,Dunk,Average,Mid-Left Above Break 3,0.4748193161344135,0.2120253128159438,0.31315537104964253
113,Draymond Green,Dunk,Average,Rim,0.22700147911350474,0.6283457134238397,0.14465280746265555
114,Draymond Green,Dunk,Average,Left Above Break 3,0.35808270139240095,0.23904762086724926,0.4028696777403497
115,Draymond Green,Dunk,Average,Left Corner 3,0.48565186313320546,0.22890749887699297,0.28544063798980157
116,Draymond Green,Dunk,Average,Mid-Right Above Break 3,0.47015998537231846,0.23867465454249598,0.2911653600851856
117,Draymond Green,Dunk,Average,Right Above Break 3,0.44659327581675273,0.23022629544892242,0.32318042873432484
118,Draymond Green,Dunk,Average,Right Corner 3,0.45550518469633144,0.23647336067933736,0.30802145462433117
119,Draymond Green,Dunk,Plus,Mid-Left Above Break 3,0.48668478726066067,0.2153592856925405,0.29795592704679885
120,Draymond Green,Dunk,Plus,Rim,0.2279586411127797,0.6342582144974743,0.13778314438974598
121,Draymond Green,Dunk,Plus,Left Above Break 3,0.3709358992317098,0.24311973060150577,0.3859443701667844
122,Draymond Green,Dunk,Plus,Left Corner 3,0.49642513475713973,0.2322836981930525,0.2712911670498079
123,Draymond Green,Dunk,Plus,Mid-Right Above Break 3,0.48107693129614193,0.242052387384217,0.27687068131964115
124,Draymond Green,Dunk,Plus,Right Above Break 3,0.4584602715656342,0.23381695069881575,0.3077227777355502
125,Draymond Green,Dunk,Plus,Right Corner 3,0.4669866200375995,0.23981125239590456,0.293202127566496
126,Draymond Green,Dunk,Open,Mid-Left Above Break 3,0.3382434296965261,0.38827116096685516,0.2734854093366187
127,Draymond Green,Dunk,Open,Rim,0.13657315335335266,0.7463695500332153,0.11705729661343203
128,Draymond Green,Dunk,Open,Left Above Break 3,0.24595357775743137,0.4184419194717484,0.3356045027708202
129,Draymond Green,Dunk,Open,Left Corner 3,0.34422544645576575,0.4085418119587538,0.24723274158548042
130,Draymond Green,Dunk,Open,Mid-Right Above Break 3,0.3300548298431388,0.4202418787257184,0.24970329143114292
131,Draymond Green,Dunk,Open,Right Above Break 3,0.31207356590795843,0.41095560905412576,0.2769708250379158
132,Draymond Green,Dunk,Open,Right Corner 3,0.3188528221752644,0.41788350609744274,0.26326367172729287
133,Draymond Green,Dunk,Poor,Mid-Left Above Break 3,0.44245796364282153,0.3236704125028088,0.23387162385436958
134,Draymond Green,Dunk,Poor,Rim,0.192552095272772,0.6987913644929888,0.10865654023423921
135,Draymond Green,Dunk,Poor,Left Above Break 3,0.33817458850441745,0.3634715851383391,0.29835382635724333
